Number,Product_code,Product_name,Rating,number of reveiws,Price,Images
58,B092MTLNBB,"Lenovo IdeaPad L340 Intel Core i5 9th Gen 15.6"" FHD Gaming Laptop (8GB/1TB HDD/Windows 10/NVIDIA GeForce GTX 10503GB GDDR5/Granite Black/2.19kg), 81LK01QTIN",3.9 out of 5 stars,128,"49,990",https://m.media-amazon.com/images/I/81oeSUav6lL._AC_UY218_.jpg
59,B08R777GBL,"Dell 14 (2021) Thin & Light i3-1005G1 Laptop, 4Gb RAM, 1TB HDD + 256GB SSD, 14” (35.56 Cms) FHD AG Display, Win 10 + MSO, Black (Vostro 3401, D552151WIN9BE)",4.3 out of 5 stars,85,"39,190",https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg
60,B08TBVBKN5,"HP Notebook PC 245 G7 14"" (35.56cms) Laptop ATHLON-3050U/4GB/1TB/Windows 10 Home/ 1 Year Warranty (21Z04PA)",3.4 out of 5 stars,97,Currently Unavailable,https://m.media-amazon.com/images/I/61M2uHOa9vL._AC_UY218_.jpg
61,B097SZMNQH,"Dell Inspiron 3501 15.6"" FHD Display Laptop (i3-1115G4 / 4GB / 256GB SSD / Integrated Graphics / Win10 + MSO / Accent Black) D560492WIN9BE",No Rating Available,0,"38,890",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg
62,B08PQPRD69,"HP 15 Thin & Light 15.6""(39.62cms) FHD Laptop (11th Gen Intel Core i5-1135G7, 8GB DDR4, 1TB HDD, Windows 10 Home, MS Office, Integrated Graphics, FPR, Natural Silver, 1.76 Kg), 15s-du3032TU",3.9 out of 5 stars,354,"56,390",https://m.media-amazon.com/images/I/71dbvTXW+hL._AC_UY218_.jpg
63,B095S8HPMY,"Dell Inspiron 7415 14"" FHD Touch Display 2in1 Laptop (R5 5500U / 8GB / 512GB SSD / Integrated Graphics / Win 10 + MSO / Backlit KB + FPR + Active Pen /Pebble Metal Color) D560470WIN9P",4.1 out of 5 stars,6,"66,390",https://m.media-amazon.com/images/I/514FlU4YKBS._AC_UY218_.jpg
64,B0928PGBLM,"HP Pavilion x360 10th Gen Intel Core i3 Touchscreen 2-in-1 14-inch(35.6 cm) FHD Laptop (8GB/512GB SSD/Windows 10/MS Office/Warm Gold/1.58 kg), 14-dh1502TU",4.4 out of 5 stars,714,"50,890",https://m.media-amazon.com/images/I/617clKqAqiL._AC_UY218_.jpg
65,B08JMMHZLN,"ASUS VivoBook 14 (2020) Intel Core i5-1035G1 10th Gen 35.56 cm FHD Thin and Light Laptop (8GB/512GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Transparent Silver/1.6 kg), X415JA-EK094TS",3.9 out of 5 stars,245,"49,990",https://m.media-amazon.com/images/I/71WuDXpTAlL._AC_UY218_.jpg
66,B092MTLNBB,"Lenovo IdeaPad L340 Intel Core i5 9th Gen 15.6"" FHD Gaming Laptop (8GB/1TB HDD/Windows 10/NVIDIA GeForce GTX 10503GB GDDR5/Granite Black/2.19kg), 81LK01QTIN",3.9 out of 5 stars,128,"49,990",https://m.media-amazon.com/images/I/81oeSUav6lL._AC_UY218_.jpg
67,B096359ZZG,"Lenovo IdeaPad Slim 3 (2021) | 11th Gen Intel Core i5 |15.6"" Full HD Thin and Light Laptop | 4-Side Narrow Bezel (8GB/512GB SSD/Windows 10/Office/Backlit Keyboard/Arctic Grey/1.65Kg), 82H8014BIN",4.1 out of 5 stars,20,"57,990",https://m.media-amazon.com/images/I/61pwrivrfUS._AC_UY218_.jpg
68,B08S3MGDS3,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop with Alexa Built-in(i3-1115G4/8GB/1TB HDD/M.2 Slot/Win 10/MS Office/Natural Silver/1.76 Kg), 15s-du3038TU",3.6 out of 5 stars,177,"42,490",https://m.media-amazon.com/images/I/4157paly7gL._AC_UY218_.jpg
